GDGT-0,GDGT-1,GDGT-2,GDGT-3,Crenarchaeol,Cren',Sea Surface Temp
0.345,0.062,0.037,0.012,0.531,0.011,18.9
0.4224,0.0647,0.0428,0,0.4544,0.0157,13
0.352,0.063,0.039,0.011,0.521,0.013,18.9
0.285,0.074,0.08,0.015,0.515,0.031,18.9
0.356,0.054,0.04,0.01,0.509,0.03,18.9
0.356,0.062,0.038,0.013,0.521,0.01,18.9
0.338,0.062,0.037,0.011,0.539,0.014,18.9
0.354,0.062,0.039,0.011,0.525,0.009,18.9
0.341,0.063,0.038,0.012,0.535,0.011,18.9
0.346,0.061,0.04,0.014,0.539,0,18.9
0.306,0.07,0.061,0.011,0.533,0.02,18.9
0.295,0.064,0.064,0.011,0.54,0.026,18.9
0.363,0.059,0.036,0.01,0.516,0.016,18.9
0.359,0.063,0.036,0.013,0.524,0.005,18.9
0.328,0.063,0.054,0.012,0.519,0.024,18.9
0.323,0.064,0.041,0.013,0.54,0.018,18.9
0.3,0.07,0.059,0.012,0.534,0.024,18.9
0.347,0.066,0.039,0.013,0.525,0.01,18.9
0.37,0.059,0.039,0.014,0.507,0.012,18.9
0.293,0.073,0.067,0.014,0.52,0.035,18.9
0.328,0.065,0.05,0.012,0.53,0.016,18.9
0.302,0.068,0.055,0.013,0.528,0.034,18.9
0.34,0.066,0.044,0.012,0.521,0.017,18.9
0.308,0.07,0.049,0.012,0.533,0.027,18.9
0.298,0.067,0.065,0.011,0.527,0.031,18.9
0.274,0.078,0.066,0.014,0.537,0.03,18.9
0.253,0.095,0.087,0.012,0.503,0.051,18.9
0.4117,0.0592,0.0357,0.0102,0.4663,0.0168,18.4
0.275,0.071,0.076,0.011,0.523,0.044,18.9
0.5283,0.0365,0.0133,0.0051,0.4123,0.0045,15.5
0.4830,0.0331,0.0172,0.0063,0.4515,0.0090,13.4
0.7518,0.1037,0.0667,0.0102,0.065,0.0027,15.9
0.4192,0.0646,0.0429,0.0064,0.4454,0.0214,16.4
0.7234,0.1208,0.0704,0.0099,0.0728,0.0028,15.6
0.4646,0.0621,0.0375,0,0.4102,0.0257,16.1
0.4263,0.0665,0.0437,0,0.4439,0.0196,16
0.2778,0.0654,0.076,0.0091,0.5311,0.0407,17.9
0.2826,0.0682,0.0747,0.0105,0.5272,0.0367,17.3
0.7106,0.1187,0.0761,0,0.0904,0.0042,16.9
0.3564,0.0487,0.0364,0.0042,0.5174,0.0369,17.1
0.471,0.031,0.013,0.004,0.478,0.003,13.8
0.4635,0.025,0.009,0.004,0.4965,0.002,14.6
0.521,0.03,0.015,0.005,0.426,0.003,14.9
0.2878,0.063,0.0749,0.0098,0.526,0.0384,18.1
0.3339,0.0567,0.0511,0.0080,0.5180,0.0324,18.3
0.307,0.0673,0.0593,0.0132,0.5256,0.0277,18.1
0.432,0.041,0.02,0.005,0.498,0.004,15.2
0.4625,0.03,0.012,0.004,0.4885,0.003,14.9
0.2896,0.0697,0.0772,0.0115,0.5157,0.0362,19.2
0.436,0.027,0.01,0.004,0.519,0.004,14.9
0.39,0.04,0.023,0.007,0.535,0.005,15.2
0.391,0.034,0.016,0.005,0.551,0.003,15.2
0.428,0.035,0.016,0.005,0.512,0.004,15.4
0.387,0.056,0.029,0.011,0.512,0.005,13.9
0.424,0.042,0.019,0.006,0.505,0.004,13.9
0.4264,0.033,0.014,0.004,0.5185,0.004,15.7
0.4625,0.034,0.015,0.005,0.4795,0.004,16
0.39,0.031,0.013,0.004,0.56,0.002,15.2
0.3666,0.042,0.023,0.006,0.5594,0.003,15.2
0.4363,0.0824,0.0507,0.0021,0.4135,0.0151,14.8
0.296,0.067,0.059,0.0139,0.5362,0.0279,19.5
0.4016,0.0619,0.034,0.012,0.4815,0.009,18
0.421,0.055,0.028,0.006,0.481,0.009,17.5
0.4494,0.043,0.02,0.007,0.4745,0.006,16.7
0.3734,0.038,0.019,0.006,0.5596,0.004,15.8
0.3257,0.046,0.029,0.009,0.5864,0.004,15.8
0.247,0.053,0.044,0.011,0.641,0.004,15.1
0.2766,0.073,0.0808,0.0115,0.5211,0.0369,19.5
0.3197,0.047,0.027,0.009,0.5914,0.006,17.5
0.39,0.054,0.03,0.01,0.509,0.007,16.7
0.385,0.069,0.044,0.015,0.477,0.01,17.8
0.2878,0.0703,0.0738,0.0131,0.5134,0.0416,23.3
0.3779,0.0811,0.0603,0.0087,0.4507,0.0213,23.1
0.3020,0.0584,0.0523,0.0087,0.5408,0.0378,21.4
0.2908,0.0608,0.0655,0.0129,0.5331,0.0369,23.1
0.2448,0.0556,0.0581,0.0122,0.5940,0.0354,22.9
0.2990,0.0575,0.0540,0.0097,0.5381,0.0417,21.4
0.285,0.059,0.039,0.015,0.596,0.006,16
0.283,0.065,0.043,0.022,0.587,0,16
0.3606,0.0599,0.038,0.014,0.5175,0.01,17.7
0.3263,0.0581,0.039,0.013,0.5546,0.009,17.8
0.257,0.053,0.037,0.013,0.635,0.005,16.8
0.3073,0.0561,0.041,0.014,0.5756,0.006,16.8
0.3046,0.0581,0.0431,0.014,0.5731,0.007,17.8
0.2633,0.0553,0.0557,0.0106,0.5788,0.0364,22.7
0.432,0.115,0.057,0.021,0.37,0.005,16.8
0.449,0.029,0.015,0.005,0.5,0.002,16.8
0.2667,0.0599,0.041,0.015,0.6094,0.008,16.8
0.273,0.064,0.045,0.018,0.591,0.009,16.8
0.2767,0.0629,0.043,0.016,0.5944,0.007,16.8
0.283,0.05,0.034,0.012,0.613,0.008,16.8
0.295,0.052,0.035,0.011,0.6,0.007,17.7
0.272,0.056,0.04,0.014,0.607,0.011,17.7
0.263,0.057,0.04,0.014,0.619,0.007,16.8
0.2807,0.0599,0.049,0.017,0.5854,0.008,16.8
0.3514,0.0502,0.0530,0.0102,0.4996,0.0357,22.5
0.273,0.059,0.044,0.015,0.602,0.007,16.8
0.2687,0.0519,0.038,0.013,0.6214,0.007,16.8
0.2677,0.0539,0.036,0.013,0.6224,0.007,16.8
0.278,0.056,0.043,0.015,0.601,0.007,16.8
0.2448,0.0569,0.041,0.015,0.6354,0.007,19.7
0.316,0.0654,0.0621,0.0095,0.5159,0.0311,17.6
0.3345,0.0648,0.0555,0.01,0.5068,0.0283,17.6
0.264,0.038,0.046,0.015,0.63,0.007,19.7
0.2557,0.0529,0.037,0.014,0.6314,0.009,19.7
0.27,0.06,0.041,0.015,0.606,0.008,19.7
0.4456,0.0639,0.0639,0.022,0.3896,0.015,19.7
0.3011,0.0667,0.0660,0.0096,0.5230,0.0336,22.9
0.2322,0.0521,0.042,0.015,0.6517,0.007,19.7
0.243,0.055,0.04,0.014,0.64,0.008,19.7
0.2378,0.0559,0.043,0.016,0.6394,0.008,20.2
0.269,0.063,0.047,0.017,0.594,0.01,20.5
0.2478,0.0629,0.047,0.018,0.6114,0.013,20.8
0.241,0.063,0.048,0.018,0.615,0.015,20.8
0.2527,0.0649,0.049,0.018,0.6014,0.014,20.8
0.276,0.0711,0.0771,0.0091,0.5272,0.0395,19.5
0.1332,0.057,0.0874,0.0257,0.6258,0.071,25.3
0.241,0.062,0.046,0.017,0.62,0.014,21.6
0.1705,0.0584,0.0995,0.02,0.5709,0.0807,25.3
0.1013,0.0459,0.0906,0.0226,0.6541,0.0855,25.3
0.3288,0.066,0.0639,0.0095,0.5003,0.0314,19.7
0.2393,0.0721,0.0885,0.0128,0.5367,0.0506,25.4
0.2369,0.0699,0.0854,0.012,0.5491,0.0468,25.4
0.2264,0.0747,0.0959,0.0125,0.537,0.0534,25.4
0.0989,0.047,0.0962,0.0222,0.654,0.0816,25.7
0.2893,0.0723,0.0823,0.0086,0.5076,0.0399,20.3
0.1231,0.0545,0.1113,0.0241,0.5947,0.0924,25.7
0.1854,0.0667,0.0771,0.0376,0.6004,0.0328,26.4
0.1112,0.0477,0.0924,0.0213,0.6395,0.0878,25.9
0.1137,0.0497,0.1137,0.022,0.6022,0.0988,25.9
0.2982,0.0762,0.077,0.0084,0.5024,0.0379,20.2
0.3084,0.0724,0.0697,0.0085,0.5036,0.0374,20.2
0.1061,0.0458,0.1216,0.021,0.6056,0.0999,26.6
0.2949,0.0557,0.0676,0.0141,0.5288,0.0389,26.2
0.3149,0.073,0.0723,0.0078,0.4955,0.0366,20.8
0.0874,0.0402,0.1155,0.0205,0.6156,0.1207,26.8
0.0828,0.0393,0.1143,0.0215,0.6269,0.1152,26.8
